gene	conMean	treatMean	logFC	pValue	fdr
ADAMTSL3	13.0567235294118	2.26215048923679	-2.52902609788348	1.74384924728479e-27	1.90791804599611e-26
ADAMTSL4	39.5118509803922	8.35476242661448	-2.24161472272889	1.80269198589232e-28	2.50650826897691e-27
ADAMTSL5	1.4115862745098	5.33974383561644	1.91945322560966	9.97356122569929e-13	2.27531544481194e-12
ADARB1	26.8664823529412	6.25902759295499	-2.10179699912263	6.95780981082266e-29	1.06747034381724e-27
ADCK5	5.55735882352941	18.1543782778865	1.70784622457211	4.25959287333786e-26	3.62374750214369e-25
ADCY10	0.0652627450980392	1.73057808219178	4.72885055419503	2.62471976896457e-16	7.68517492968785e-16
ADCY4	12.3854274509804	2.25006614481409	-2.46060434248921	2.47475177475749e-30	6.79101072651975e-29
ADCY9	30.3858235294118	9.92828219178082	-1.61378236602642	2.69719571262558e-28	3.5492046117113e-27
ADCYAP1	2.63112549019608	1.05801428571429	-1.31432095134848	4.60999243360671e-07	7.37260220873302e-07
ADD2	1.41463725490196	8.26932563600783	2.5473375215997	0.00100812396480915	0.00129182627647004
ADGRA2	24.3952509803922	11.4286542074364	-1.09394479834598	1.39298062421788e-14	3.59385274365863e-14
ADGRB2	1.2892568627451	5.42052935420744	2.07189402308937	1.00516979091296e-14	2.62288313628061e-14
ADGRD1	19.8866117647059	1.43444559686888	-3.79323233578208	7.6622216546838e-32	1.57735813812225e-29
ADGRE1	12.4969549019608	2.00606340508806	-2.63913748960075	8.68626991925787e-25	6.02023489628018e-24
ADGRE3	6.53314509803922	0.752291193737769	-3.11841457416339	4.86373088517751e-27	4.89701673195479e-26
ADGRE5	165.698429411765	30.7358661448141	-2.43056488162023	2.27161132716739e-31	1.62727026226264e-29
ADGRF4	0.3694	13.1288933463796	5.15141763793525	6.2772056283111e-27	6.18607447223974e-26
ADGRF5	264.913625490196	20.4420099804305	-3.69591308602225	8.43632168025603e-32	1.57735813812225e-29
ADGRG1	33.6863980392157	93.3433563600783	1.47038116870988	1.20426186448342e-17	3.90178532094808e-17
ADGRG6	24.1489215686275	9.42032015655577	-1.35811076644848	1.00966429610089e-19	3.90140152100544e-19
ADGRG7	0.354523529411765	2.09754970645793	2.56475171303682	2.62413761437975e-09	4.82348290425337e-09
ADGRL2	23.5157607843137	7.57085557729941	-1.63509975463591	1.12743727112053e-21	5.33153435985929e-21
ADGRL4	28.5529392156863	6.60704363992172	-2.11156248410643	7.32058107385774e-29	1.11931104278769e-27
ADH1B	140.367435294118	4.53876223091977	-4.95076555176529	8.52575535541748e-32	1.57735813812225e-29
ADH7	2.86773333333333	150.80648297456	5.71664376329294	1.86597754054272e-14	4.76139912584904e-14
ADHFE1	2.10087647058824	1.03709412915851	-1.01844449292844	1.81515333667435e-14	4.63346288493863e-14
ADM	44.2924098039216	151.63202074364	1.77544304864579	3.69524855867289e-14	9.21832054520375e-14
ADM2	1.49534705882353	11.5610019569472	2.95071417017273	5.06605922708368e-26	4.25618329961772e-25
ADORA2B	8.62033137254902	20.1565234833659	1.22543159615398	6.32149049885029e-10	1.20528879720261e-09
ADPRH	32.0877196078431	9.28630469667319	-1.78884474097616	1.17781498867868e-30	3.88794135993908e-29
ADRA1B	3.26966862745098	0.840137964774951	-1.96044626244763	4.53444421151116e-25	3.27027410788527e-24
ADRA2B	0.694966666666667	5.9244927592955	3.0916759519645	3.78658555749223e-09	6.8861384175246e-09
ADRB1	30.5031529411765	2.70899804305284	-3.49312711727356	1.17203514623504e-29	2.28996331538629e-28
ADRB2	68.1078509803922	8.85834755381605	-2.94271160424724	7.18855881477653e-31	2.83779919761105e-29
ADSL	1.01958823529412	2.20944344422701	1.11569637071129	1.06958482449554e-20	4.57410982436309e-20
ADSS1	3.20237647058824	8.85667534246575	1.46762231452934	3.39115448962751e-11	7.00918199088503e-11
AFAP1L1	26.2957196078431	6.5279060665362	-2.01013577523048	9.61100478561163e-28	1.10526555034534e-26
AFF3	7.86400196078431	0.826753620352251	-3.24973431829415	3.99470881365886e-30	9.70010138367055e-29
AGER	3176.11112156863	53.2465136986301	-5.89843050988625	7.26324236290851e-32	1.57735813812225e-29
AGMAT	0.70653137254902	3.66197573385519	2.37379670315023	2.57176372145674e-25	1.92575607339919e-24
AGMO	0.2535	1.84575929549902	2.86415677180598	0.000308072643164203	0.000408855672403411
AGR3	241.953496078431	30.1940530332681	-3.00239345341181	7.9375797090076e-29	1.19871659565225e-27
AGRP	24.8028294117647	1.07966438356164	-4.52184988538118	1.61481696516144e-31	1.57735813812225e-29
AGTPBP1	27.3521823529412	13.2549802348337	-1.04512142721799	5.95418991001028e-24	3.66564149453027e-23
