conMean	treatMean	logFC	pValue	fdr
ADM2	1.49534705882353	11.5610019569472	2.95071417017273	5.06605922708368e-26	4.25618329961772e-25
ADORA2B	8.62033137254902	20.1565234833659	1.22543159615398	6.32149049885029e-10	1.20528879720261e-09
ADRA2B	0.694966666666667	5.9244927592955	3.0916759519645	3.78658555749223e-09	6.8861384175246e-09
ADSL	1.01958823529412	2.20944344422701	1.11569637071129	1.06958482449554e-20	4.57410982436309e-20
ADSS1	3.20237647058824	8.85667534246575	1.46762231452934	3.39115448962751e-11	7.00918199088503e-11
AGMAT	0.70653137254902	3.66197573385519	2.37379670315023	2.57176372145674e-25	1.92575607339919e-24
AGMO	0.2535	1.84575929549902	2.86415677180598	0.000308072643164203	0.000408855672403411
AHCY	64.9983274509804	217.90025851272	1.74519340800584	2.34277235987654e-28	3.14411228933332e-27
AHNAK2	4.83867450980392	37.7454759295499	2.96361993756818	1.82148507450001e-16	5.40243189605111e-16
AHSG	0.186923529411765	4.13248043052838	4.46648789956435	1.30122684261004e-09	2.43120171631306e-09
AIFM3	0.87463137254902	2.2034133072407	1.33299313210535	8.72736338379838e-07	1.36913935678204e-06
AIM2	3.82941960784314	18.9572250489237	2.30755014159756	2.85869150326414e-13	6.74977159593724e-13
AIMP2	13.6773764705882	31.918830332681	1.22261625904014	3.68578458061905e-26	3.18169933650497e-25
AK4	2.61574509803922	23.2685497064579	3.15308742905386	9.82605493698056e-29	1.4419735620019e-27
AKR1B10	2.51599215686275	735.337031311155	8.19113440524789	7.05796790236346e-26	5.77512876665509e-25
AKR1B15	0.0551352941176471	14.6070755381605	8.04947551543257	2.67666630553537e-27	2.84324719048254e-26
AKR1C1	10.6242764705882	250.631343248532	4.56013034533443	8.78628493650715e-08	1.4741348692405e-07
AKR1C2	6.10406470588235	299.324895107632	5.61579820829992	3.80755132066654e-17	1.19022344015557e-16
AKR1C3	30.6442921568627	329.155089041096	3.42507721740601	2.55606617617277e-05	3.64446609404463e-05
AKR1C4	0.103133333333333	1.30996966731898	3.66695080500023	4.13140703950724e-06	6.20308345644876e-06
AKR1E2	1.84422352941176	5.95475107632094	1.69102767259121	1.08562243350809e-09	2.03909132927e-09
AKR7A3	0.615025490196078	4.62167553816047	2.90969786946841	2.29963678384797e-18	7.87205786478992e-18
ALDH18A1	35.8407529411765	93.5849980430528	1.38467633418806	1.17916892523694e-28	1.69181292875918e-27
ALDH1L1	0.474217647058824	2.54831095890411	2.42592007797691	0.00085631293662412	0.00110221002548977
ALDH1L2	3.09038431372549	7.64455694716243	1.30664663042931	9.74892527570016e-10	1.83647726254264e-09
ALDH3A1	22.1650274509804	273.626538551859	3.62585110707044	3.43493039077514e-07	5.53533005560458e-07
ALDH3B2	1.79793529411765	50.4257236790607	4.80974687790502	9.4355126518038e-29	1.38767817333337e-27
ALDH4A1	16.5213980392157	35.343168297456	1.097095601768	1.32013093569097e-11	2.81209967856797e-11
ALDOA	3.72978235294118	8.941414481409	1.26141162952629	1.41366280321395e-16	4.23565501690891e-16
ALDOC	17.3804529411765	60.0315935420744	1.78825628507468	2.13970389059509e-18	7.34133220506336e-18
ALG10	1.85778235294118	4.84548590998043	1.38305985394363	3.9779328409917e-23	2.20468642120672e-22
ALG1L	2.13873725490196	42.7350363992172	4.32058818859862	2.05520923437694e-28	2.81699288054041e-27
ALG1L2	0.449098039215686	1.41330880626223	1.65397439886837	1.02417406088779e-15	2.88190370905503e-15
ALG3	26.9662764705882	130.011044618395	2.26940595568423	8.59995017350766e-30	1.79178900142788e-28
ALKBH2	10.4932470588235	26.2455528375734	1.32261180839832	4.19263155533028e-24	2.62910908632207e-23
ALKBH6	0.53246862745098	1.91315244618395	1.84518340615356	1.33333344887095e-17	4.30550942195807e-17
ALOX12	2.01926862745098	5.9806904109589	1.5664791906469	0.000243515577050179	0.000325450940452873
ALOX12B	0.486937254901961	2.88041174168297	2.564467264503	1.55244346913419e-11	3.29626830443931e-11
ALOXE3	0.0885137254901961	2.16413268101761	4.61174395614778	4.6020352019622e-25	3.31194441693452e-24
ALPK2	0.159347058823529	1.2635602739726	2.98725018925384	1.82012686047664e-20	7.57040441876005e-20
ALX1	0.0953607843137255	3.00122641878669	4.97601225116149	8.24919387735597e-07	1.29638419902436e-06
ALYREF	69.7400333333333	189.251291976517	1.44024419041714	2.47950958391738e-26	2.1980209384418e-25
AMER1	2.89768431372549	7.09029119373777	1.29094444923485	1.74334669274482e-15	4.81131947273395e-15
AMH	0.391039215686275	2.78819119373777	2.83394429231347	1.41770031874178e-06	2.19147836081209e-06
AMMECR1	6.83167254901961	18.878284148728	1.46641691232631	2.1068059341499e-25	1.60325711118186e-24
AMN	1.90992745098039	5.80402093933464	1.60353488605741	1.78961289129386e-07	2.94258478204341e-07
AMTN	0.270629411764706	85.4225892367906	8.30215517916953	2.25661435070087e-16	6.64338210833241e-16
AMZ2	30.9401509803922	62.6879798434442	1.01870860203308	5.94282685642494e-22	2.90387641652527e-21
ANAPC11	34.1617490196078	69.614824853229	1.02701272827915	3.26147615454704e-20	1.32351035655364e-19
ANAPC7	16.3255784313725	36.4754772994129	1.15979274784716	4.09844968483714e-26	3.50209931613837e-25
ANKEF1	5.09748235294118	11.3553976516634	1.15552144741179	2.77689995764017e-16	8.11843359205282e-16
ANKK1	0.995223529411765	2.57617749510763	1.37213949692385	4.35712604925638e-07	6.97977679058026e-07
ANKLE1	0.462078431372549	1.85201859099804	2.00288892587163	2.06140004376646e-13	4.90847257096427e-13
ANKRD13B	2.82765294117647	15.0423980430528	2.41135761479464	1.1373364544551e-21	5.37270100475798e-21
ANKRD16	4.14500196078431	8.710171037182	1.0713282643833	2.12006261812401e-20	8.75855734617266e-20
ANKRD18A	0.356619607843137	1.54757084148728	2.11754751839274	5.18336869289425e-13	1.20138473343803e-12
